Kamiyama Shin Guards,5,5,5,,Kamiyama Works Modding,Wear all three Kamiyama items to increase weapon durability.
Sacred Tree Shin Guards,3,3,3,,Completion of Nair's Training,Wear with two other Sacred Tree items to be immune to bullets
Ass Quills,0,0,0,,Kamiyama Works Modding,Get up as soon as you get knocked down
Contact Lenses,0,0,0,450,Kotobuki Drugs,
Super Contacts,0,0,0,,Kamiyama Works Modding,Immune to blinding attacks
Uber Contacts,0,0,0,,Kamiyama Works Modding,Number of enemies is reduced
Substitute Stone,0,5,10,,Completion of Revelations,Will prevent you from dying once if you lose all your health
Popularity Bracelet,0,0,0,"29800",Ebisu Pawn,Increase hostess attraction
Lucky Bracelet,0,0,0,"22000",Ebisu Pawn,Increase hostess attraction
Charisma Ring,0,0,0,,Taihei Locker D5,Increase hostess attraction
Runner's Necklace,1,0,0,,Kamiyama Works Modding,Improves chase battle time
Kokurenkai Headband,0,0,0,,Completion of Tanimura Substories,"Sometimes negates damage, does this more often when wearing all three."
Kokurenkai Belt,0,0,0,,Completion of Akiyama Substories,"Sometimes negates damage, does this more often when wearing all three."
Amon's Sunglasses,7,7,7,,Complete Final Substory,Doubles weapon attack power
Pitcher's Amulet,0,0,0,,Kamiyama Works Modding,"During chase battles, thrown bottles do more damage"
Ebisu Socks,1,0,0,,Completion of IF7-R,Generates money as you walk
Shoulder Pads,0,0,0,,"Taihei Locker H3 Don Quijote",
Spiked Shoulder Pads,5,0,0,,Kamiyama Works Modding,More damage on shoulder attacks
Locker Key Radar,0,0,0,"70000","Given by ""memo"" man near Taihei Lockers Ebisu Pawn",When approaching a locker key a chime will sound.
Balance Bracelet,0,0,0,,Kamiyama Works Modding,Character will stumble less when colliding with people in chase battles.
Gion Bell,3,3,3,,Have any *Yakuza* game save data,Generates single-digit yen as you walk
Black Umbrella,30,5,,"1000",M Store
Gentleman's Umbrella,30,10,,"3500",Poppo
Elegant Umbrella,40,20,,,Fukuma Casino (55 Chips)
Master Ball,100,6,,,"Bowling (150 points, or 6 Splits in a Splits Game)"
Brickshitter Beer,40,12,,,Kamiyama Works Modding
Blackjack,50,10,,"3000",Any Weapon Shop
Ballbuster,60,10,Knockback,,Kamiyama Works Modding
Police Baton,70,20,,"8000",Any Weapon Shop
Kamiyama's Police Baton,80,20,Shock,,Kamiyama Works Modding
Sonic Knife,60,30,,,Kamiyama Works Modding
Spicy Knife,70,30,Burn,,"Coliseum (1500 points)Taihei Locker A3"
Nameless Short Sword,68,30,,"80000",Ebisu Pawn
Chinese Broadsword,90,20,,"70000",Ebisu Pawn
Lotus Clan Broadsword,110,25,,,Taihei Locker H5
Divine Dragon Short Sword,120,60,,,Complete the Final Substory
Stun Gun,60,10,Shock,"16000",Any Weapon Shop
Hyper Stun Gun,80,15,Shock,"30000","Rooftop Weapon Shop Taihei Locker B1"
9-Iron,60,8,,,"Underground Locker I3 Golf Closest to the Pin Contest"
Wooden Driver,50,10,,"12000","Any Weapon Shop Golf Closest to the Pin Contest"
Titanium Driver,60,10,,"84600","Ebisu Pawn Golf Closest to the Pin Contest"
Patriarch's Driver,140,10,,,Kamiyama Works Modding
Dragon-Drive 99,120,20,,,Kamiyama Works Modding
Metal Bat,60,15,,"5600",Ebisu Pawn
Spiked Bat,70,15,,,Kamiyama Works Modding
Patriarch's Bat,200,10,,,Kamiyama Works Modding
Golden Dragon Bat,160,20,,,Kamiyama Works Modding
Wooden Katana,40,20,,"2800",Rooftop Weapon Shop
Nameless Katana,60,25,,"150000",Ebisu Pawn
Dark Wooden Sword,70,25,,"3500",Ebisu Pawn
Mail Order Katana,80,10,,"15300",Any Weapon Shop
Photon Blade MG,80,25,,,Kamiyama Works Modding
Photon Blade PG,100,40,,,Kamiyama Works Modding
Ornate Blade,90,35,,,"Coliseum (100000 points)"
Sakura Storm,112,25,,"450000","Rooftop Weapon Shop Last Master Training Complete"
Muramasa Blade,130,40,,,Completion of Coliseum
Dragon Slayer,140,60,,,Kamiyama Works Modding
Sledgehammer,140,15,,"5000",Any Weapon Shop
Hammer,160,18,,,Kamiyama Works Modding
Toy Hammer,20,30,,,Kamiyama Works Modding
Raging Dragon Hammer,200,15,,,Kamiyama Works Modding
Miniature Sign,140,30,,,"Coliseum (50000 Points)"
Danger! Do Not Swing,1000,1,,,Kamiyama Works Modding
Lucky Mallet,20,30,Get 3000 yen per hit,,Completion of Hostesses (main seven)
Extendable Staff,10,50,,"10000",Any Weapon Shop
Steel Laundry Pole,40,60,,,Kamiyama Works Modding
Assassin's Spear,50,40,,"30000",Rooftop Weapon Shop
Purgatory Rod,60,30,Burn,,Kamiyama Works Modding
Great Dragon Spear,90,100,,,Kamiyama Works Modding
Squid Spear,40,50,,,Kamiyama Works Modding
Great Marlin,70,80,,,Kamiyama Works Modding
Broken M1985,700,5,,"320000",Rooftop Weapon Shop
Expulsion S-12,900,6,,"460000",Rooftop Weapon Shop
Slime Gun,20,10,Knockdown,,Kamiyama Works Modding
Smoke Gun,20,10,Stun,,Kamiyama Works Modding
Brass Knuckles,60,35,,"7200",Any Weapon Shop
Pepper Knuckles,40,30,Knockdown,,Kamiyama Works Modding
Spiked Knuckles,50,40,,"50000",Rooftop Weapon Shop
Iron Gloves,60,35,,"42000",Rooftop Weapon Shop
Dragon Grudge Gloves,80,70,,,Kamiyama Works Modding
Demon Gauntlets,50,35,,,"Coliseum (50000 Points)"
Hungry Wolf Gloves,60,70,Drains health,,Kamiyama Works Modding
Pepper Spray,2,20,Stun,"3200",Any Weapon Shop
Slime Spray,2,20,Knockdown,,Kamiyama Works Modding
Modified Lighter,2,10,Burn,"5800",Any Weapon Shop
Modified Stun Lighter,40,10,"Burn, Shock",,Kamiyama Works Modding
Super Mod LIghter,40,Infinite,Burn,,Kamiyama Works Modding
Iron Tonfa,50,40,,"11000",Any Weapon Shop
Steel Tonfa,70,50,,"23000",Rooftop Weapon Shop
Slashing Tonfa,110,50,,,Kamiyama Works Modding
Pepper Spray Tonfa,90,40,Block for knockdown,,Kamiyama Works Modding
Chinese Dragon Tonfa,120,70,,,Kamiyama Works Modding
Self-Defense Ruler,50,50,,,Kamiyama Works Modding
Platinum Ruler,100,250,,,Kamiyama Works Modding
Wooden Nunchaku,10,50,,"5300",Any Weapon Shop
Long Nunchaku,20,50,,"8900",Rooftop Weapon Shop
Twin Hangers,50,40,,,Kamiyama Works Modding
Steel Nunchaku,50,70,,,Kamiyama Works Modding
Dragon Nunchaku,100,100,,,Kamiyama Works Modding
Electromagnetic Nunchaku,40,50,Shock,,Kamiyama Works Modding
"SPARK 20000V",80,60,Shock,,Kamiyama Works Modding
Double Slats,50,20,,"2300",Rooftop Weapon Shop
Demon Taiko Sticks,60,35,,,Kamiyama Works Modding
Spiked Taiko Sticks,60,25,,,Kamiyama Works Modding
Wooden Kali Sticks,40,35,,"20000",Any Weapon Shop
Twin Dragon Sticks,100,60,,,Kamiyama Works Modding
Cutie Girl Sticks,40,40,Increase Heat Gain,,Kamiyama Works Modding
Love Shine Sticks,60,80,Max Heat Gain,,Kamiyama Works Modding
9mm Automatic Pistol,600,10,,"120000",Rooftop Weapon Shop
Double Action Revolver,700,15,,"230000",Rooftop Weapon Shop
Drow-Z 55,200,15,Sleep,,Kamiyama Works Modding
Mr. Random,200,15,Random effects,,Kamiyama Works Modding
Golden Pistol,800,Infinite,,,Completion of Minigames
NSD Prototype,200,50,,"500000",Rooftop Weapon Shop
NMR-Limbo Model,300,200,,,Kamiyama Works Modding
